,Zone,Exact position,Action 1,Outcome 1,Action 2,Outcome 2,Reward,d_predicted,d_test,Exploration rate
145,A,1.4299498429386117,3,-1.0,3,-1.0,0.0,1.8062571287155151,0.7190976788854656,0.12999999999999923
146,A,1.315004637287711,3,-1.0,3,-1.0,4.400077177979926e-43,1.922121524810791,1.1317811816394399,0.12399999999999922
147,B,2.2202663498513737,3,-1.0,0,3.0,0.013262984342873096,2.4669363498687744,2.150741640108374,0.11799999999999922
148,A,0.9663929799171885,3,-1.0,3,-1.0,0.0,1.789484977722168,0.3793875167147279,0.11199999999999921
149,A,1.0584186615781903,0,1.0,3,-1.0,6.015130111336475e-06,0.5828324556350708,0.7721328608340687,0.1059999999999992
150,B,3.963394833526034,3,-1.0,3,-1.0,6.321667751763016e-05,1.873521327972412,2.4015634045545693,0.0999999999999992
151,B,2.1684736379848633,3,-1.0,3,-1.0,3.980486188055743e-13,2.097128391265869,3.3707073177994387,0.0939999999999992
152,C,5.474512834757431,3,5.474512834757431,3,5.474512834757431,7.399234605520667e-16,2.937483072280884,5.041786989277819,0.08799999999999919
153,A,1.498384242913848,3,-1.0,1,1.498384242913848,4.203895392974451e-45,2.2257039546966553,1.2975345439195198,0.08199999999999918
154,D,7.555577676649045,3,-1.0,1,-1.0,0.001988415839150548,1.8846359252929688,2.288173154739855,0.07599999999999918
155,C,5.723019073903391,3,5.723019073903391,3,5.723019073903391,6.628141736256385e-43,3.326427459716797,10.972817882304478,0.06999999999999917
156,B,3.1087982661940625,3,-1.0,1,-1.0,1.094030847435876e-33,2.1697967052459717,5.650765926464758,0.06399999999999917
157,A,1.9515413828935333,3,-1.0,1,1.9515413828935333,1.2897633496322669e-05,2.4822514057159424,3.254387513271649,0.05799999999999917
158,A,1.4982148132400277,3,-1.0,1,1.4982148132400277,5.324813871254998e-24,2.3239591121673584,1.531300761872066,0.05199999999999917
159,B,3.1332760592678017,3,-1.0,1,-1.0,4.7832182440948184e-29,2.174593925476074,5.06906908305664,0.045999999999999173
160,B,2.0443496307244815,3,-1.0,1,-1.0,2.6596226374128902e-14,2.202772378921509,3.6429652181562093,0.039999999999999175
161,B,2.0599520902574873,3,-1.0,1,-1.0,0.0,1.980156660079956,0.8625390291485604,0.03399999999999918
162,B,2.33151023877272,3,-1.0,1,-1.0,2.4790730481523873e-26,2.270591974258423,4.967948574082051,0.02799999999999918
163,B,2.6664224735001008,3,-1.0,1,-1.0,0.1410108357667923,2.09267258644104,2.3225275477290523,0.02199999999999918
164,B,2.203493249988218,3,-1.0,1,-1.0,1.641502200705274e-25,2.303285598754883,4.944550923054677,0.01599999999999918
