,M,L,Action,Outcome,Reward,Predicted T,Empirical T,q0,q1,Exploration rate
2299,0.7747327657177832,0.5171993364620816,0,0.7747327657177832,0.00041276522097177804,1.728350281715393,1.4434302747680618,138.57223510742188,353.794921875,0.701130000000084
2300,0.7252816780962433,0.6623407610826598,1,0.6623407610826598,0.994152843952179,1.6423015594482422,1.6334564942517389,138.57223510742188,354.7890625,0.701000000000084
2301,0.6674172923127064,0.5941510766054471,0,0.6674172923127064,0.6044519543647766,1.6247084140777588,1.547088916165217,139.1766815185547,354.7890625,0.700870000000084
2302,0.3764170762099369,0.24148647885016747,1,0.24148647885016747,1.199624399816912e-08,1.284157633781433,0.9863095541033685,139.1766815185547,354.7890625,0.7007400000000841
2303,0.6865922832200982,0.5638208668224864,1,0.5638208668224864,0.9808896780014038,1.5218867063522339,1.5070838050201358,139.1766815185547,355.76995849609375,0.7006100000000841
2304,0.5077787491422054,0.7976485250580841,1,0.7976485250580841,0.14135150611400604,1.6152598857879639,1.7925555117281073,139.1766815185547,355.91131591796875,0.7004800000000841
2305,0.33617417832485724,0.7341452914862275,0,0.33617417832485724,2.3738832169328816e-05,1.3229081630706787,1.719720385422394,139.1767120361328,355.91131591796875,0.7003500000000842
2306,0.30251500459539793,0.698799182799588,1,0.698799182799588,0.28763705492019653,1.5453777313232422,1.6778109511413921,139.1767120361328,356.1989440917969,0.7002200000000842
2307,0.7433777346150042,0.4648789281713581,1,0.4648789281713581,0.7067965865135193,1.4254772663116455,1.3684746633631302,139.1767120361328,356.9057312011719,0.7000900000000843
2308,0.3587803399837878,0.3376309927472526,1,0.3376309927472526,0.021148543804883957,1.3281792402267456,1.1662401355905334,139.1767120361328,356.9268798828125,0.6999600000000843
2309,0.3889043927154243,0.7127600665807969,0,0.3889043927154243,0.0006061171879991889,1.368360996246338,1.694488049836711,139.1773223876953,356.9268798828125,0.6998300000000843
2310,0.610287732568314,0.8538072184065764,1,0.8538072184065764,0.059172384440898895,1.634080410003662,1.8545849946097364,139.1773223876953,356.9860534667969,0.6997000000000844
2311,0.5732626715020319,0.8937602767050182,1,0.8937602767050182,0.06315253674983978,1.6744881868362427,1.8974806455399351,139.1773223876953,357.0491943359375,0.6995700000000844
2312,0.410545164413872,0.15829759636176272,1,0.15829759636176272,3.738056684934182e-14,1.112526297569275,0.7985534507902067,139.1773223876953,357.0491943359375,0.6994400000000844
2313,0.9944868493378891,0.9882091438624788,1,0.9882091438624788,0.09422025084495544,1.778388261795044,1.9952221824477026,139.1773223876953,357.1434020996094,0.6993100000000845
2314,0.5642745083757897,0.14945753923123714,1,0.14945753923123714,4.804957447142365e-16,1.101790428161621,0.7759357187168627,139.1773223876953,357.1434020996094,0.6991800000000845
2315,0.9636079810477578,0.10681975373519417,1,0.10681975373519417,3.834516860659278e-23,0.9892308712005615,0.6559830484333414,139.1773223876953,357.1434020996094,0.6990500000000845
2316,0.7841405905288164,0.30867136714228943,1,0.30867136714228943,0.0008283157949335873,1.325147032737732,1.1151030488919331,139.1773223876953,357.14422607421875,0.6989200000000846
2317,0.6706551166419743,0.5539630687511594,0,0.6706551166419743,0.3764365315437317,1.598260521888733,1.4938508437670182,139.5537567138672,357.14422607421875,0.6987900000000846
2318,0.2085974040125812,0.9092826150334766,1,0.9092826150334766,0.23350000381469727,1.7506685256958008,1.913886919992331,139.5537567138672,357.3777160644531,0.6986600000000847
2319,0.6493351602177035,0.2558334779850149,1,0.2558334779850149,0.020740142092108727,1.156506061553955,1.0151857616816657,139.5537567138672,357.3984680175781,0.6985300000000847
2320,0.43079686761983715,0.9035260871547238,1,0.9035260871547238,0.22265979647636414,1.7424808740615845,1.9078190397095014,139.5537567138672,357.6211242675781,0.6984000000000847
